"program","stage_name","data_element_name","target_header","source_name","form_name","data_type","org_unit","reason"
"Maternal Inpatient Data/aLoraiFNkng","APH CHART","APH event date","APH CHART :: APH event date","APH event date [APH CHART]","APH event date","DATE","","No matching export column found in the same program stage/form."
"Maternal Inpatient Data/aLoraiFNkng","Delivery Monitoring partograph","Blood pressure diastolic DMP","Delivery Monitoring partograph :: Blood pressure diastolic DMP","Blood pressure (diastolic) [Delivery Monitoring partograph]","Blood pressure (diastolic)","INTEGER_ZERO_OR_POSITIVE","","No matching export column found in the same program stage/form."
"Maternal Inpatient Data/aLoraiFNkng","Delivery Monitoring partograph","Blood pressure Systolic DMP","Delivery Monitoring partograph :: Blood pressure Systolic DMP","Blood pressure (Systolic) [Delivery Monitoring partograph]","Blood pressure (Systolic)","INTEGER_ZERO_OR_POSITIVE","","No matching export column found in the same program stage/form."
"Maternal Inpatient Data/aLoraiFNkng","Delivery Monitoring partograph","Date of admission DMP","Delivery Monitoring partograph :: Date of admission DMP","Date of admission [Delivery Monitoring partograph]","Date of admission","DATE","","No matching export column found in the same program stage/form."
"Maternal Inpatient Data/aLoraiFNkng","Delivery Monitoring partograph","Delivery Monitoring Partograph event date","Delivery Monitoring partograph :: Delivery Monitoring Partograph event date","Delivery Monitoring partograph Entry [Delivery Monitoring partograph]","Delivery Monitoring Partograph event date","DATE","","No matching export column found in the same program stage/form."
"Maternal Inpatient Data/aLoraiFNkng","Delivery Monitoring partograph","Fetal Heart Rate DMP","Delivery Monitoring partograph :: Fetal Heart Rate DMP","Fetal Heart Rate [Delivery Monitoring partograph]","Fetal Heart Rate","TEXT","","No matching export column found in the same program stage/form."
"Maternal Inpatient Data/aLoraiFNkng","Delivery Monitoring partograph","Protein in Urine DMP","Delivery Monitoring partograph :: Protein in Urine DMP","Protein in Urine [Delivery Monitoring partograph]","Protein in Urine","TEXT","","No matching export column found in the same program stage/form."
"Maternal Inpatient Data/aLoraiFNkng","Delivery Monitoring partograph","Ruptured Membranes DMP","Delivery Monitoring partograph :: Ruptured Membranes DMP","Ruptured Membranes [Delivery Monitoring partograph]","Ruptured Membranes","TEXT","","No matching export column found in the same program stage/form."
"Maternal Inpatient Data/aLoraiFNkng","Delivery Monitoring partograph","Time of Admission DMP","Delivery Monitoring partograph :: Time of Admission DMP","Time of Admission [Delivery Monitoring partograph]","Time of Admission","TIME","","No matching export column found in the same program stage/form."
"Maternal Inpatient Data/aLoraiFNkng","Delivery summary","Apgar Score 10th min","Delivery summary :: Apgar Score 10th min","Apgar Score 10th min [Delivery summary]","Apgar Score 10th min","INTEGER_ZERO_OR_POSITIVE","","No matching export column found in the same program stage/form."
