program,target_header,stage_name,data_element_name,source_value,dhis2_value,transform,notes,org_unit,source_concept_name,source_concept_uuid
Maternal Inpatient Data,Delivery Monitoring partograph :: Amniotic fluid DMP,Delivery Monitoring partograph,Amniotic fluid DMP,I,I,,,,Amniotic fluid DMP,4060ff44-d613-416a-b63d-a11658e2e9aa
Maternal Inpatient Data,Delivery Monitoring partograph :: Amniotic fluid DMP,Delivery Monitoring partograph,Amniotic fluid DMP,C,C,,,,Amniotic fluid DMP,4060ff44-d613-416a-b63d-a11658e2e9aa
Maternal Inpatient Data,Delivery Monitoring partograph :: Amniotic fluid DMP,Delivery Monitoring partograph,Amniotic fluid DMP,M,M,,,,Amniotic fluid DMP,4060ff44-d613-416a-b63d-a11658e2e9aa
Maternal Inpatient Data,Delivery Monitoring partograph :: Amniotic fluid DMP,Delivery Monitoring partograph,Amniotic fluid DMP,B,B,,,,Amniotic fluid DMP,4060ff44-d613-416a-b63d-a11658e2e9aa
Maternal Inpatient Data,Delivery Monitoring partograph :: Amniotic fluid DMP,Delivery Monitoring partograph,Amniotic fluid DMP,A,A,,,,Amniotic fluid DMP,4060ff44-d613-416a-b63d-a11658e2e9aa
Maternal Inpatient Data,Delivery Monitoring partograph :: Cervix cm DMP,Delivery Monitoring partograph,Cervix cm DMP,10,10,,,,Cervix cm DMP,8459e651-7622-4b6d-8a33-0f3f5a68cb17
Maternal Inpatient Data,Delivery Monitoring partograph :: Cervix cm DMP,Delivery Monitoring partograph,Cervix cm DMP,9,9,,,,Cervix cm DMP,8459e651-7622-4b6d-8a33-0f3f5a68cb17
Maternal Inpatient Data,Delivery Monitoring partograph :: Cervix cm DMP,Delivery Monitoring partograph,Cervix cm DMP,8,8,,,,Cervix cm DMP,8459e651-7622-4b6d-8a33-0f3f5a68cb17
Maternal Inpatient Data,Delivery Monitoring partograph :: Cervix cm DMP,Delivery Monitoring partograph,Cervix cm DMP,7,7,,,,Cervix cm DMP,8459e651-7622-4b6d-8a33-0f3f5a68cb17
Maternal Inpatient Data,Delivery Monitoring partograph :: Cervix cm DMP,Delivery Monitoring partograph,Cervix cm DMP,6,6,,,,Cervix cm DMP,8459e651-7622-4b6d-8a33-0f3f5a68cb17
Maternal Inpatient Data,Delivery Monitoring partograph :: Cervix cm DMP,Delivery Monitoring partograph,Cervix cm DMP,5,5,,,,Cervix cm DMP,8459e651-7622-4b6d-8a33-0f3f5a68cb17
