EMR Concept Fully Specified Name,EMR Concept short name,EMR Concept UUID,EMR Concept ID,EMR concept Data Type,EMR Options (Answers),EMR Form Name,EMR Form UUID
True,,78763e68-104e-465d-8ce3-35f9edfb083d,1,N/A,,,
False,,f9f633a5-1544-4c44-9394-a7f746a12dff,2,N/A,,,
Lab Samples,Laboratory,8160a011-3f10-11e4-adec-0800271c1b75,3,N/A,,,
Dosage Frequency,dosagefrequency,818f75fe-3f10-11e4-adec-0800271c1b75,4,Coded,qD; BID; TID; QID,,
qD,qd,8198989e-3f10-11e4-adec-0800271c1b75,5,Text,,,
BID,bid,81a2eed9-3f10-11e4-adec-0800271c1b75,6,Text,,,
TID,tid,81a3e99c-3f10-11e4-adec-0800271c1b75,7,Text,,,
QID,qid,81b14ee4-3f10-11e4-adec-0800271c1b75,8,Text,,,
Dosage Instructions,dosage instructions,81b22017-3f10-11e4-adec-0800271c1b75,9,Coded,AC; PC; HS,,
AC,ac,81b90108-3f10-11e4-adec-0800271c1b75,10,Text,,,
PC,pc,81b9e006-3f10-11e4-adec-0800271c1b75,11,Text,,,
HS,hs,81c0e0b5-3f10-11e4-adec-0800271c1b75,12,Text,,,
Visit Diagnoses,Visit Diagnoses,81c5840e-3f10-11e4-adec-0800271c1b75,13,N/A,,,
Non-coded Diagnosis,Non-coded Diagnosis,81c66271-3f10-11e4-adec-0800271c1b75,14,Text,,,
Coded Diagnosis,Coded Diagnosis,81c7149b-3f10-11e4-adec-0800271c1b75,15,Coded,,,
Diagnosis Certainty,Diagnosis Certainty,81c7d52c-3f10-11e4-adec-0800271c1b75,16,Coded,Presumed; Confirmed,,
Presumed,Presumed,81c88f93-3f10-11e4-adec-0800271c1b75,17,N/A,,,
Confirmed,Confirmed,81c90d57-3f10-11e4-adec-0800271c1b75,18,N/A,,,
Diagnosis order,Diagnosis order,81c9da5f-3f10-11e4-adec-0800271c1b75,19,Coded,Secondary; Primary,,
Secondary,Secondary,81ca9451-3f10-11e4-adec-0800271c1b75,20,N/A,,,
Primary,Primary,81cafebe-3f10-11e4-adec-0800271c1b75,21,N/A,,,
Admit Patient,Admit Patient,81cded5a-3f10-11e4-adec-0800271c1b75,22,N/A,,,
Discharge Patient,Discharge Patient,81cec45c-3f10-11e4-adec-0800271c1b75,23,N/A,,,
Transfer Patient,Transfer Patient,81d1cf4e-3f10-11e4-adec-0800271c1b75,24,N/A,,,
Disposition,Disposition,81d288eb-3f10-11e4-adec-0800271c1b75,25,Coded,Undo Discharge; Admit Patient; Discharge Patient; Transfer Patient; Keep Patient; Send Home,,
Disposition Set,Disposition Set,81d3ad1f-3f10-11e4-adec-0800271c1b75,26,N/A,,,
Disposition Note,Disposition Note,81d4a9dc-3f10-11e4-adec-0800271c1b75,27,Text,,,
Consultation Note,consultation note,81d6e852-3f10-11e4-adec-0800271c1b75,28,Text,,,
Admission,Admission,81d93625-3f10-11e4-adec-0800271c1b75,29,N/A,,,
DISCHARGE,DISCHARGE,81dbd1ca-3f10-11e4-adec-0800271c1b75,30,N/A,,,
Lab Departments,Lab departments,81e79a45-3f10-11e4-adec-0800271c1b75,31,N/A,,,
Other Investigations,Other Investigations,81e8776e-3f10-11e4-adec-0800271c1b75,32,N/A,,,
