program,target_header,stage_name,data_element_name,source_value,dhis2_value,transform,notes,org_unit,source_concept_name,source_concept_uuid
Neonatal Care Form,Discharge care form :: Final Discharge Diagnosis/Cause of Death,Discharge care form,Final Discharge Diagnosis/Cause of Death,Congenital Malformations,Congenital Malformations,,,,Final Discharge Diagnosis/Cause of Death,bb6b928f-286e-4fdf-94c1-5fdaf92275d6
Neonatal Care Form,Discharge care form :: Final Discharge Diagnosis/Cause of Death,Discharge care form,Final Discharge Diagnosis/Cause of Death,Prematurity,Prematurity,,,,Final Discharge Diagnosis/Cause of Death,bb6b928f-286e-4fdf-94c1-5fdaf92275d6
Neonatal Care Form,Discharge care form :: Final Discharge Diagnosis/Cause of Death,Discharge care form,Final Discharge Diagnosis/Cause of Death,Infection,Infection,,,,Final Discharge Diagnosis/Cause of Death,bb6b928f-286e-4fdf-94c1-5fdaf92275d6
Neonatal Care Form,Discharge care form :: Final Discharge Diagnosis/Cause of Death,Discharge care form,Final Discharge Diagnosis/Cause of Death,Intrapartum-related,Intrapartum-related,,,,Final Discharge Diagnosis/Cause of Death,bb6b928f-286e-4fdf-94c1-5fdaf92275d6
Neonatal Care Form,Discharge care form :: Final Discharge Diagnosis/Cause of Death,Discharge care form,Final Discharge Diagnosis/Cause of Death,Jaundice (Pathological),Jaundice (Pathological),,,,Final Discharge Diagnosis/Cause of Death,bb6b928f-286e-4fdf-94c1-5fdaf92275d6
Neonatal Care Form,Discharge care form :: Final Discharge Diagnosis/Cause of Death,Discharge care form,Final Discharge Diagnosis/Cause of Death,Other (None of Above),Other (None of Above),,,,Final Discharge Diagnosis/Cause of Death,bb6b928f-286e-4fdf-94c1-5fdaf92275d6
Neonatal Care Form,Discharge care form :: Final Discharge Diagnosis/Cause of Death,Discharge care form,Final Discharge Diagnosis/Cause of Death,Primary Cause/Final Diagnosis Not Recorded (No Details To Enable Death Certification),Primary Cause/Final Diagnosis Not Recorded (No Details To Enable Death Certification),,,,Final Discharge Diagnosis/Cause of Death,bb6b928f-286e-4fdf-94c1-5fdaf92275d6
Neonatal Care Form,Discharge care form :: Final Discharge Diagnosis/Cause of Death,Discharge care form,Final Discharge Diagnosis/Cause of Death,Not read,Not Readable,,,,Final Discharge Diagnosis/Cause of Death,bb6b928f-286e-4fdf-94c1-5fdaf92275d6
Neonatal Care Form,Discharge care form :: Newborn status at discharge n,Discharge care form,Newborn status at discharge n,Dead,Dead,,,,Newborn status at discharge,1b7f8c5d-2842-4516-8b1b-1f5bb2add733
Neonatal Care Form,Discharge care form :: Newborn status at discharge n,Discharge care form,Newborn status at discharge n,Alive,Alive,,,,Newborn status at discharge,1b7f8c5d-2842-4516-8b1b-1f5bb2add733
