"program","target_header","stage_name","data_element_name","source_value","dhis2_value","transform","notes","org_unit","source_concept_name","source_concept_uuid"
"Maternal Inpatient Data/aLoraiFNkng","APH CHART :: Abdominal Tenderness APH","APH CHART","Abdominal Tenderness APH","Absent","Absent","","","","Abdominal Tenderness","300b738a-d53d-4981-bbaf-ccf31af25eaa"
"Maternal Inpatient Data/aLoraiFNkng","APH CHART :: Abdominal Tenderness APH","APH CHART","Abdominal Tenderness APH","Present","Present","","","","Abdominal Tenderness","300b738a-d53d-4981-bbaf-ccf31af25eaa"
"Maternal Inpatient Data/aLoraiFNkng","APH CHART :: Vaginal bleeding APH","APH CHART","Vaginal bleeding APH","Mild","Mild","","","","Vaginal bleeding","016c57e6-7256-48fc-b408-11d2c024d0f0"
"Maternal Inpatient Data/aLoraiFNkng","APH CHART :: Vaginal bleeding APH","APH CHART","Vaginal bleeding APH","Moderate","Moderate","","","","Vaginal bleeding","016c57e6-7256-48fc-b408-11d2c024d0f0"
"Maternal Inpatient Data/aLoraiFNkng","APH CHART :: Vaginal bleeding APH","APH CHART","Vaginal bleeding APH","None","None","","","","Vaginal bleeding","016c57e6-7256-48fc-b408-11d2c024d0f0"
"Maternal Inpatient Data/aLoraiFNkng","APH CHART :: Vaginal bleeding APH","APH CHART","Vaginal bleeding APH","Severe","Severe","","","","Vaginal bleeding","016c57e6-7256-48fc-b408-11d2c024d0f0"
"Maternal Inpatient Data/aLoraiFNkng","Delivery Monitoring partograph :: Fetal Heart Rate DMP","Delivery Monitoring partograph","Fetal Heart Rate DMP","100","100","","","","Fetal Heart Rate","162994c2-4ec8-4118-819f-2711d342a884"
"Maternal Inpatient Data/aLoraiFNkng","Delivery Monitoring partograph :: Fetal Heart Rate DMP","Delivery Monitoring partograph","Fetal Heart Rate DMP","110","110","","","","Fetal Heart Rate","162994c2-4ec8-4118-819f-2711d342a884"
"Maternal Inpatient Data/aLoraiFNkng","Delivery Monitoring partograph :: Fetal Heart Rate DMP","Delivery Monitoring partograph","Fetal Heart Rate DMP","120","120","","","","Fetal Heart Rate","162994c2-4ec8-4118-819f-2711d342a884"
"Maternal Inpatient Data/aLoraiFNkng","Delivery Monitoring partograph :: Fetal Heart Rate DMP","Delivery Monitoring partograph","Fetal Heart Rate DMP","130","130","","","","Fetal Heart Rate","162994c2-4ec8-4118-819f-2711d342a884"
"Maternal Inpatient Data/aLoraiFNkng","Delivery Monitoring partograph :: Fetal Heart Rate DMP","Delivery Monitoring partograph","Fetal Heart Rate DMP","140","140","","","","Fetal Heart Rate","162994c2-4ec8-4118-819f-2711d342a884"
"Maternal Inpatient Data/aLoraiFNkng","Delivery Monitoring partograph :: Fetal Heart Rate DMP","Delivery Monitoring partograph","Fetal Heart Rate DMP","150","150","","","","Fetal Heart Rate","162994c2-4ec8-4118-819f-2711d342a884"
"Maternal Inpatient Data/aLoraiFNkng","Delivery Monitoring partograph :: Fetal Heart Rate DMP","Delivery Monitoring partograph","Fetal Heart Rate DMP","160","160","","","","Fetal Heart Rate","162994c2-4ec8-4118-819f-2711d342a884"
"Maternal Inpatient Data/aLoraiFNkng","Delivery Monitoring partograph :: Fetal Heart Rate DMP","Delivery Monitoring partograph","Fetal Heart Rate DMP","170","170","","","","Fetal Heart Rate","162994c2-4ec8-4118-819f-2711d342a884"
"Maternal Inpatient Data/aLoraiFNkng","Delivery Monitoring partograph :: Fetal Heart Rate DMP","Delivery Monitoring partograph","Fetal Heart Rate DMP","180","180","","","","Fetal Heart Rate","162994c2-4ec8-4118-819f-2711d342a884"
"Maternal Inpatient Data/aLoraiFNkng","Delivery Monitoring partograph :: Fetal Heart Rate DMP","Delivery Monitoring partograph","Fetal Heart Rate DMP","190","190","","","","Fetal Heart Rate","162994c2-4ec8-4118-819f-2711d342a884"
"Maternal Inpatient Data/aLoraiFNkng","Delivery Monitoring partograph :: Fetal Heart Rate DMP","Delivery Monitoring partograph","Fetal Heart Rate DMP","200","200","","","","Fetal Heart Rate","162994c2-4ec8-4118-819f-2711d342a884"
"Maternal Inpatient Data/aLoraiFNkng","Delivery Monitoring partograph :: Fetal Heart Rate DMP","Delivery Monitoring partograph","Fetal Heart Rate DMP","80","80","","","","Fetal Heart Rate","162994c2-4ec8-4118-819f-2711d342a884"
"Maternal Inpatient Data/aLoraiFNkng","Delivery Monitoring partograph :: Fetal Heart Rate DMP","Delivery Monitoring partograph","Fetal Heart Rate DMP","90","90","","","","Fetal Heart Rate","162994c2-4ec8-4118-819f-2711d342a884"
