program,target_header,stage_name,data_element_name,source_value,dhis2_value,transform,notes,org_unit,source_concept_name,source_concept_uuid
Neonatal Care Form,,NICU Admission Careform,Date of delivery,,,date,Extract YYYY-MM-DD from Bahmni datetime.,,,
Neonatal Care Form,,NICU Admission Careform,Time of birth,,,time,Extract HH:MM from Bahmni datetime.,,,
Neonatal Care Form,,NICU Admission Careform,Date of Admission n,,,date,Extract YYYY-MM-DD from Bahmni datetime.,,,
Neonatal Care Form,,NICU Admission Careform,Time of Admission n,,,time,Extract HH:MM from Bahmni datetime.,,,
Maternal Inpatient Data,,Delivery summary,Date of Delivery,,,date,Extract YYYY-MM-DD from Bahmni datetime.,,,
Maternal Inpatient Data,,Delivery summary,Time of Delivery:,,,time,Extract HH:MM from Bahmni datetime.,,,
Neonatal Care Form,,NICU Admission Careform,Mother HIV status n,Positive.,Positive,,Example: map Bahmni option with trailing dot to DHIS2 option.,,,
Neonatal Care Form,,NICU Admission Careform,Mother HIV status n,Negative.,Negative,,Example: map Bahmni option with trailing dot to DHIS2 option.,,,
Maternal Inpatient Data,Delivery summary :: birth outcome newborn 2,Delivery summary,birth outcome newborn 2,HEIF Alive,Alive,,,TUL,birth outcome newborn 2,56ee60bc-f77e-4524-8f96-12c2dbd07263
Maternal Inpatient Data,Delivery summary :: birth outcome newborn 2,Delivery summary,birth outcome newborn 2,Stillbirth,Stillbirth,,,TUL,birth outcome newborn 2,56ee60bc-f77e-4524-8f96-12c2dbd07263
Maternal Inpatient Data,Delivery summary :: birth outcome newborn 4,Delivery summary,birth outcome newborn 4,Stillbirth,Stillbirth,,,TUL,birth outcome newborn 4,5ca84814-dbf1-4454-a55a-d9b8d6dac5c2
Maternal Inpatient Data,Delivery summary :: birth outcome newborn 3,Delivery summary,birth outcome newborn 3,HEIF Alive,Alive,,,TUL,birth outcome newborn 3,a13fa347-b347-4cd7-8b4c-8ac776fc0009
Maternal Inpatient Data,Delivery summary :: birth outcome newborn 3,Delivery summary,birth outcome newborn 3,Stillbirth,Stillbirth,,,TUL,birth outcome newborn 3,a13fa347-b347-4cd7-8b4c-8ac776fc0009
Maternal Inpatient Data,Delivery summary :: Sex,Delivery summary,Sex,Male,Male,,,TUL,Sex,bd9f7c08-e3b7-11ea-87d0-0242ac130003
Maternal Inpatient Data,Delivery summary :: Sex,Delivery summary,Sex,Female,Female,,,TUL,Sex,bd9f7c08-e3b7-11ea-87d0-0242ac130003
Maternal Inpatient Data,Delivery summary :: Measures Taken,Delivery summary,Measures Taken,Managed at facility,Managed at facility,,,TUL,Measures Taken,6f13ad07-7b84-4c63-80c0-c269b0dc167d
Maternal Inpatient Data,Delivery summary :: Measures Taken,Delivery summary,Measures Taken,Death during treatment,Death,,,TUL,Measures Taken,6f13ad07-7b84-4c63-80c0-c269b0dc167d
Maternal Inpatient Data,Delivery summary :: Measures Taken,Delivery summary,Measures Taken,Referral,Referral,,,TUL,Measures Taken,6f13ad07-7b84-4c63-80c0-c269b0dc167d
Maternal Inpatient Data,Delivery summary :: Laceration Repair,Delivery summary,Laceration Repair,"First Degree Perineal Laceration, with Delivery",1st degree,,,TUL,Delivery Summary Laceration Reparation,1d1c45d8-de55-11eb-ba80-0242ac130004
Maternal Inpatient Data,Delivery summary :: Laceration Repair,Delivery summary,Laceration Repair,"Second Degree Perineal Laceration, with Delivery",2nd degree,,,TUL,Delivery Summary Laceration Reparation,1d1c45d8-de55-11eb-ba80-0242ac130004
Maternal Inpatient Data,Delivery summary :: Laceration Repair,Delivery summary,Laceration Repair,"Third Degree Perineal Laceration, with Delivery",3rd degree,,,TUL,Delivery Summary Laceration Reparation,1d1c45d8-de55-11eb-ba80-0242ac130004
Maternal Inpatient Data,Delivery summary :: Gestation,Delivery summary,Gestation,Late Preterm GA 34 -36 wk,Term,,,TUL,Gestational Age Coded,beed8f8c-040e-11ec-9a03-0242ac130003
Maternal Inpatient Data,Delivery summary :: Gestation,Delivery summary,Gestation,Term GA = 37 weeks,Term,,,TUL,Gestational Age Coded,beed8f8c-040e-11ec-9a03-0242ac130003
Maternal Inpatient Data,Delivery summary :: Gestation,Delivery summary,Gestation,Extremely Preterm GA < 28 wks,Preterm,,,TUL,Gestational Age Coded,beed8f8c-040e-11ec-9a03-0242ac130003
Maternal Inpatient Data,Delivery summary :: Gestation,Delivery summary,Gestation,Very Preterm GA <32 weeks,Preterm,,,TUL,Gestational Age Coded,beed8f8c-040e-11ec-9a03-0242ac130003
Maternal Inpatient Data,Delivery summary :: Gestation,Delivery summary,Gestation,Early Preterm GA 32 - 34 weeks,Preterm,,,TUL,Gestational Age Coded,beed8f8c-040e-11ec-9a03-0242ac130003
Maternal Inpatient Data,Delivery summary :: Gestation,Delivery summary,Gestation,Post Term GA >41+7 wk,Postterm,,,TUL,Gestational Age Coded,beed8f8c-040e-11ec-9a03-0242ac130003
Maternal Inpatient Data,Delivery summary :: HIV Result,Delivery summary,HIV Result,"VCT, Reactive",+ve,,,TUL,"VCT, HIV Test Result",8dd82beb-7621-4215-b63a-816bbff8aee1
Neonatal Care Form,Discharge care form :: Discharge Outcome n,Discharge care form,Discharge Outcome n,Discharged Alive,Discharged Alive,,,TUL,Discharge Outcome n,8acf2601-2335-46dd-9aa8-aff4166a2b2c
Neonatal Care Form,Discharge care form :: Discharge Outcome n,Discharge care form,Discharge Outcome n,Discharged with complications,Discharged with complications,,,TUL,Discharge Outcome n,8acf2601-2335-46dd-9aa8-aff4166a2b2c
Neonatal Care Form,Discharge care form :: Discharge Outcome n,Discharge care form,Discharge Outcome n,Discharged against medical advice - poor prognosis,Discharged against medical advice - poor prognosis,,,TUL,Discharge Outcome n,8acf2601-2335-46dd-9aa8-aff4166a2b2c
Neonatal Care Form,Discharge care form :: Discharge Outcome n,Discharge care form,Discharge Outcome n,Discharged against medical advice - other,Discharged against medical advice - other,,,TUL,Discharge Outcome n,8acf2601-2335-46dd-9aa8-aff4166a2b2c
Neonatal Care Form,Discharge care form :: Discharge Outcome n,Discharge care form,Discharge Outcome n,Absconded,Absconded,,,TUL,Discharge Outcome n,8acf2601-2335-46dd-9aa8-aff4166a2b2c
Neonatal Care Form,Discharge care form :: Discharge Outcome n,Discharge care form,Discharge Outcome n,Referred/Transferred,Referred/Transferred,,,TUL,Discharge Outcome n,8acf2601-2335-46dd-9aa8-aff4166a2b2c
Neonatal Care Form,Discharge care form :: Final Discharge Diagnosis/Cause of Death,Discharge care form,Final Discharge Diagnosis/Cause of Death,Congenital Malformations.,Congenital Malformations,,,TUL,Final Discharge Diagnosis/Cause of Death,bb6b928f-286e-4fdf-94c1-5fdaf92275d6
Neonatal Care Form,Discharge care form :: Final Discharge Diagnosis/Cause of Death,Discharge care form,Final Discharge Diagnosis/Cause of Death,Prematurity,Prematurity,,,TUL,Final Discharge Diagnosis/Cause of Death,bb6b928f-286e-4fdf-94c1-5fdaf92275d6
Neonatal Care Form,Discharge care form :: Final Discharge Diagnosis/Cause of Death,Discharge care form,Final Discharge Diagnosis/Cause of Death,Infection present,Infection,,,TUL,Final Discharge Diagnosis/Cause of Death,bb6b928f-286e-4fdf-94c1-5fdaf92275d6
Neonatal Care Form,Discharge care form :: Final Discharge Diagnosis/Cause of Death,Discharge care form,Final Discharge Diagnosis/Cause of Death,Intrapartum-related,Intrapartum-related,,,TUL,Final Discharge Diagnosis/Cause of Death,bb6b928f-286e-4fdf-94c1-5fdaf92275d6
Neonatal Care Form,Discharge care form :: Final Discharge Diagnosis/Cause of Death,Discharge care form,Final Discharge Diagnosis/Cause of Death,Jaundice (Pathological),Jaundice (Pathological),,,TUL,Final Discharge Diagnosis/Cause of Death,bb6b928f-286e-4fdf-94c1-5fdaf92275d6
Neonatal Care Form,Discharge care form :: Final Discharge Diagnosis/Cause of Death,Discharge care form,Final Discharge Diagnosis/Cause of Death,Other (None of Above),Other (None of Above),,,TUL,Final Discharge Diagnosis/Cause of Death,bb6b928f-286e-4fdf-94c1-5fdaf92275d6
Neonatal Care Form,Discharge care form :: Final Discharge Diagnosis/Cause of Death,Discharge care form,Final Discharge Diagnosis/Cause of Death,Primary Cause/Final Diagnosis Not Recorded (No Details To Enable Death Certification),Primary Cause/Final Diagnosis Not Recorded (No Details To Enable Death Certification),,,TUL,Final Discharge Diagnosis/Cause of Death,bb6b928f-286e-4fdf-94c1-5fdaf92275d6
