name,code
Abiadi General hospital,ABD
Abomsa Primary Hospital,ABM
Adama Teaching Hospital,ADMT
Adare GH,ADR
Addis Alem  PH,AAL
Addis Zemen  PH,AZ
Adet PH,ADT
Adet Primary Hospital,ADTPH
Adi Daero Primary Hospital,ADDRPH
Adigrat general hospital,AGH
Adigudom primary hospital,APH
Adishu primary hospital,AsPH
Adola General Hospital,ADLGH
Adwa general hospital,AwGH
Agaro General Hospital,AGR
Alemketema General Hospital,ALKTGH
Aleta Wondo PH,ALW
Amaro Kele Primary Hospital,AMRKPH
Amaya Primary Hospital,AMYPH
Ambo  General Hospital,AMG
Ambo   university   Hospital,AMU
Amdework Primary Hospital,AMDWPH
Ameya Primary Hospital,AMY
Ameya Primary Hospital,AMYAPH
Andabet Primary Hospital,ADBTPH
Angacha Primary Hospital,ANGPH
Arba Minch General Hospital,AMC
Arero Primary Hospital,ARRPH
Arjo Primary Hospital,ARJPH
Arsi Negelle Primary Hospital,ARN
Asabot Primary Hospital,ASB
Asabot Primary Hospital,ASBPH
Asela Teaching Hospital,ASLT
Ataye Primary Hospital,ATYPH
Axum referral hospital,AxRH
Ayder referral hospital,ARH
Ayekel Primary Hospital,AYKPH
Ayssaita Primary Hospital,ASYT
Badessa Primary Hospital,BDSPH
Bako Primary Hospital,BKPH
Balegazigar General Hospital,BLGZGH
Batu Primary Hospital,BT
Bedelle General Hospital,BDLGH
Bedeno Primary Hospital,BDN
Belegesgar Primary Hospital,BLG
Bele Primary Hospital,BLPH
Bichena Primary Hospital,BCNPH
Birshwa Primary Hospital,BRSPH
Bisdemo General Hospital,BSDMGH
Bishoftu General Hospital,BSFGH
Bishoftu General Hospital,BSH
Bisidimo General Hospital,BSD
Bokoji Primary Hospital,BKJ
Bona GH,BN
Bore Primary Hospital,BRPH
Boru meda GH,BRM
Bue Primary Hospital,BPH
Bule Hora General Hospital,BLHRGH
Burie  PH,BR
Butajira GH,BTJ
Chagni PH,CHG
Chalenko Primary Hospital,CHLKPH
Chancho General Hospital,CHNGH
Chancho Primary Hospital,CHN
Chiro General Hospital,CHR
Chora Primary Hospital,CHRPH
Ciro General Hospital,CRGH
Dangela  PH,DNG
Daye GH,DAY
Debark General Hospital,DBRKGH
Debere Markos referral hospital,DMK
Debrebirhan CSH,DBR
Debresina Primary Hospital,DSN
Debre Tabor referral Hospital,DBT
